QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150317_000124	Они действительно что-то планируют?{nl}Что-то .. подозрительное ..	정말 이놈들이 무언가 꾸미고 있는 걸까?{nl}이거이거.. 냄새가 나, 냄새가..합동조사단 유커트
QUEST_LV_0200_20150317_000125	Вуббы сломали ящики с припасами и сбежали с этим?{nl}Почему? Неужели они действительно это сделали?{nl}Нет, они недостаточно умны для этого.{nl}	부베들이 보급품 상자를 부수고 이걸 들고 도망갔었다고?{nl}왜지? 설마 이놈들이 진짜 그걸 만들고 있었던 건가?{nl}아니야, 에이 설마, 부베들은 그럴만한 지능이 없어.{nl}합동조사단 유커트
QUEST_LV_0200_20150317_000126	Хорошо! Надо обратить внимание и решить проблему!	좋아! 정신 차리고 확실히 파헤치는 거야!합동조사단 유커트
QUEST_LV_0200_20150317_000127	Хорошо. Готовы?{nl}	좋아. 각오는 되어 있겠지?{nl}합동조사단 유커트
QUEST_LV_0200_20150317_000128	Перед тем, как вы пришли, я видел, как Вуббс двигается группами.{nl}Отправляйтесь на утесы Гебене и посмотрите, как там обстоят дела.	네가 오기 전에 부베들이 여기저기로 우르르 몰려가는 걸 봤어.{nl}게베네 절벽으로 가서 동태를 살피고 와줘. 합동조사단 유커트
QUEST_LV_0200_20150317_000129	Вуббы всегда были причастны ко всему, что здесь происходило.{nl}Это не может быть просто совпадением ..	여기서 일어난 일들의 끝에는 언제나 부베가 있었어.{nl}우연치곤 아주 완벽한 이야기지..합동조사단 유커트
QUEST_LV_0200_20150317_000130	Я думаю .. Теперь я понимаю.{nl}Я думаю, что это было похоже на большую фабрику по созданию огромных монстров по имени Woodspirits.{nl}	이런, 설마.. 드디어 모든 게 다 짜 맞춰지는군. {nl}그건 아마 우드스피릿이라는 거대 몬스터를 만들어 내는 공장 같은 거였을지도 모르겠어.{nl}합동조사단 유커트
QUEST_LV_0200_20150317_000131	Флаг Вуббса, должно быть, вызвал призраков.{nl}Затем они загрязнили деревья и создали огромных монстров.{nl}	부베들의 깃발이 유령을 불러들였겠지.{nl}그렇게 모인 유령들이 나무를 오염시켜 거대 몬스터를 만들었던 거고.{nl}합동조사단 유커트
QUEST_LV_0200_20150317_000132	Кора этого дерева, должно быть, была ингредиентами для создания Духов-лесов.{nl}Эти Вуббы не могли сделать это в одиночку.{nl}Они, должно быть, получили от кого-то заказ!	그 나무껍질은 분명 우드스피릿을 만드는 재료였을 거야.{nl}이건 절대로 부베들이 저지를 수준이 아니라고.{nl}누군가의 사주를 받은 분명해!합동조사단 유커트
QUEST_LV_0200_20150317_000133	Мы можем найти некоторые неопровержимые доказательства в том месте, где группируются вуббы.{nl}Если Prey это увидит, ей это понравится!	부베들이 몰려 있는 곳에서 뭔가 결정적인걸 발견할 수 있을지도 몰라.{nl}프레이가 보면 좋다고 할 광경이겠군!합동조사단 유커트
QUEST_LV_0200_20150317_000134	Вуббы не очень сообразительны, поэтому он, должно быть, делал только простые приказы.{nl}Как он мог подумать об управлении этими Vubbes ..{nl}Я не знаю, что сказать.{nl}	부베들은 똑똑하지 못하니까 아마 아주 간단한 명령만 내렸을 거야.{nl}부베를 부려 먹을 생각을 하다니.. {nl}진짜 난 어이가 없어서 말도 안 나온다. {nl}합동조사단 유커트
QUEST_LV_0200_20150317_000135	Я уверен, что Древесные духи созданы из разных мест.{nl}Я чувствую приближение порочной энергии.{nl}Сначала мы должны уничтожить флаги, создающие Древесных Духов!	우드스피릿은 분명 여러 곳에서 만들어지는 거 같아.{nl}사악한 기운이 몰리는 게 느껴지거든. {nl}우드스피릿을 만들어내는 깃발이라도 빨리 부숴야겠어!합동조사단 유커트
QUEST_LV_0200_20150317_000136	Уходите, как только будете готовы.{nl}На данный момент лучший способ действий - остановить создание Духов-лесов ..	준비가 끝나는 대로 바로 출발해. {nl}지금은 우드스피릿을 더 이상 만들지 못하도록 막는 게 급선무니까..합동조사단 유커트
QUEST_LV_0200_20150317_000137	Думаю, на данный момент мы сделали все, что в наших силах.{nl}Поскольку мы ничего не можем сделать с теми, которые уже были созданы.	우선 급한 불은 끈 것 같아. {nl}이미 만들어진 건 어쩔 수 없지만..합동조사단 유커트
QUEST_LV_0200_20150317_000138	Я чувствую, что ближайший флаг отсюда находится возле шоссе Гатвес.{nl}Огромные деревья, которые видели люди, вероятно, принадлежат духам лесов.{nl}Как я мог пропустить эту простую вещь.	여기서 가장 가까운 깃발은 갓베스 가도 근처에서 느껴져.{nl}사람들이 목격했다는 거대한 나무 같은 건 아마 우드스피릿을 말한 거겠지.{nl}이런 간단한 걸 짚어내지도 못하다니, 나도 아직 멀었군.합동조사단 유커트
QUEST_LV_0200_20150317_000139	Скульптура начальника совы	성실한 대장 부엉이 조각상
QUEST_LV_0200_20150317_000140	Огромное спасибо.{nl}Другие совы, должно быть, приобрели доверие из-за вас.	정말 고맙습니다. {nl}당신 덕분에 다른 부엉이들도 용기를 얻었을 겁니다.성실한 대장 부엉이 조각상
QUEST_LV_0200_20150317_000141	Скульптура Слабой Совы	약해진 부엉이 조각상
QUEST_LV_0200_20150317_000142	На самом деле было слишком поздно ..{nl}Богиня действительно иногда бывает суровой ..	이미 늦고 말았군요.{nl}여신께선 참 가혹하세요.약해진 부엉이 조각상
QUEST_LV_0200_20150317_000143	У меня последняя просьба.{nl}Можете ли вы сжечь Сов, чтобы они могли отдохнуть с миром?	마지막 부탁이 있어요. {nl}떠나간 부엉이들을 불태워 편히 보내 주실 수 있을까요?약해진 부엉이 조각상
QUEST_LV_0200_20150317_000144	Как ты думаешь, мои союзники смогут безопасно добраться до богини Осрин?	제 동료들이 아우슈리네 여신께 무사히 닿을 수 있을까요?약해진 부엉이 조각상
QUEST_LV_0200_20150317_000145	Огромное спасибо.{nl}Сначала принесите мне масло из масляных ящиков по дороге на месторождение Нойодер.	정말 감사합니다.{nl}먼저 뉴오더 벌판으로 가는 길에 있는 기름 상자를 가져다 주세요.약해진 부엉이 조각상
QUEST_LV_0200_20150317_000146	Если вы не против, я бы хотел получить от вас дополнительную помощь.{nl}Я отправил посыльного, но из-за последней атаки я беспокоюсь за него.{nl}	괜찮다면 자네 힘을 좀 더 빌리고 싶네.{nl}전령을 보냈었는데 아까의 습격으로 왠지 걱정되거든.{nl}지휘관 바세닌
